NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 17, 1966                                                                                    
ORIGIN TIME (Local)        :  16:41:00                                                                                            
LATITUDE                   :  -10.70                                                                                              
LONGITUDE                  :  -78.70                                                                                              
DEPTH (km)                 :  24.00                                                                                               
MAGNITUDE                  :  8.1 Mw                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  16:41:00
NUMBER OF SAMPLES          :      3283
MAXIMUM ACCELERATION       :   -180.56   -268.24     94.29
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
T	EW	NS	UD
12.16	-6.9641	8.5187	-23.8379
12.18	-3.0141	-20.4603	0.4511
12.20	4.4699	-18.4683	13.2951
12.22	-10.6151	2.8887	-3.9569
12.24	-13.2241	6.2967	-2.5099
12.26	-14.8441	-9.6843	3.7451
12.28	-19.7871	-1.3973	-4.7239
12.30	-4.0251	27.7007	-19.3119
12.32	4.1229	18.0247	-13.4789
12.34	-6.4091	-10.9143	8.9411
12.36	-8.1861	-5.8523	7.2381
12.38	-0.7041	9.7387	-6.5399
12.40	6.3389	16.3247	-4.7649
12.42	10.5249	7.7357	0.2721
12.44	2.5139	-7.9113	-6.4569
12.46	5.4799	1.9927	-5.1559
12.48	16.8919	3.4297	-1.4559
12.50	10.1079	-7.4383	-5.9099
12.52	6.7569	-4.5563	-18.5709
12.54	12.0209	5.0157	-10.2349
12.56	7.0909	13.7827	1.5081
12.58	-3.4621	10.5577	-11.5019
12.60	-1.1241	8.1767	-5.7569
12.62	8.7929	17.0287	0.7801
12.64	3.6689	-1.1713	6.3131
12.66	-0.0141	-6.6763	4.3051
12.68	15.0079	8.2357	-13.3349
12.70	8.1039	-7.9633	5.9611
12.72	0.4549	-19.5763	25.5461
12.74	15.6999	-12.2823	22.2311
12.76	6.9499	1.3767	13.7901
12.78	-0.6411	14.3437	-6.9399
12.80	-0.1951	2.5927	-25.7689
12.82	8.5509	-3.8573	-20.7779
12.84	0.4589	13.3167	-6.3419
12.86	-34.5331	10.7937	-1.6289
12.88	-20.5561	-2.7553	6.2031
12.90	12.2919	7.5167	16.4201
12.92	12.5869	1.9937	14.7821
12.94	9.4729	-13.2803	3.9721
12.96	2.1379	-3.8913	-8.8799
12.98	-5.1991	-3.8563	-0.1809
13.00	9.6219	-2.6713	4.5361
13.02	4.2669	0.1257	-9.6679
13.04	-4.7631	-1.0393	-15.6369
13.06	-3.9811	12.3517	-4.9909
13.08	0.1539	10.7827	12.3351
13.10	15.4499	-0.0413	17.0491
13.12	-6.2671	6.6267	14.3041
13.14	-34.6681	1.1997	8.7071
13.16	-17.1261	-5.8223	-8.8879
13.18	-3.4051	4.1367	-19.6309
13.20	6.3379	-4.4803	-8.4109
13.22	12.8839	-6.2323	2.8591
13.24	-1.1811	9.7227	1.4541
13.26	8.7479	8.4667	17.9111
13.28	19.1769	7.5847	27.0901
13.30	-4.4241	8.8397	13.3871
13.32	-3.8751	11.9807	-6.7719
13.34	0.3849	9.5897	-7.4289
13.36	-0.1921	-11.9843	12.1791
13.38	5.9079	-20.8733	9.9431
13.40	-11.4921	-10.3553	6.6711
13.42	-13.5421	-5.7393	-1.9859
13.44	3.4269	-0.5623	-11.2019
13.46	8.3149	0.5527	-8.8519
13.48	-2.2641	7.1887	-3.7809
13.50	-8.0781	20.8247	-1.5499
13.52	-0.2281	7.5457	-4.7089
13.54	-1.1111	-12.8483	-11.1189
13.56	-6.9081	-14.1703	-10.8059
13.58	5.8469	-6.7883	3.9181
13.60	19.8759	1.6927	22.7391
13.62	4.4069	-6.1503	20.5411
13.64	-16.7281	-7.1053	5.2121
13.66	-3.1961	4.1747	-2.9699
13.68	6.0839	4.0087	-10.7729
13.70	-12.0031	-3.0043	-16.4129
13.72	-22.4161	4.7327	-22.7409
13.74	-2.5521	22.9957	-18.0109
13.76	5.0519	3.4827	5.0711
13.78	-8.9611	-19.4073	-0.3909
13.80	1.9709	-6.3133	-18.8219
13.82	7.7139	4.1167	-2.1769
13.84	7.7369	-0.3673	20.9911
13.86	11.3429	3.0437	14.1791
13.88	-8.9531	-1.5723	0.1531
13.90	-17.5111	-13.4283	-0.6969
13.92	-3.4961	-9.6893	-1.3959
13.94	11.7279	2.2877	4.1601
13.96	8.5539	10.9047	8.0951
13.98	-26.0441	0.9887	6.2721
14.00	-25.0921	-20.9933	12.5081
14.02	1.7029	-11.6103	12.7191
14.04	-3.6341	6.7297	16.7061
14.06	-0.7301	3.5197	9.2411
14.08	9.2459	11.0467	-15.9359
14.10	3.2249	19.9747	-12.5359
14.12	6.6159	9.1147	-8.0219
14.14	5.0119	-13.0683	-13.0559
14.16	9.3499	0.6257	0.6401
14.18	6.3149	17.1327	-2.3939
14.20	-12.1961	-9.7653	-14.8459
14.22	-1.0151	-10.9723	-11.7069
14.24	1.2899	12.9827	-11.3629
14.26	-3.6011	4.7157	-22.5779
14.28	11.1619	-15.7033	-20.5439
14.30	4.5769	0.7607	3.6001
14.32	-8.2461	21.2357	7.7331
14.34	8.7959	4.6157	-11.7539
14.36	2.7389	-7.4273	-19.7139
14.38	-16.1211	-0.3803	-2.7449
14.40	0.6979	4.7037	6.9011
14.42	27.3569	1.3337	5.5731
14.44	20.8879	10.2247	-11.2159
14.46	-5.7781	10.8127	-15.8049
14.48	2.9209	-5.4243	13.5571
14.50	26.2909	-3.3463	13.4341
14.52	10.1359	7.8827	4.2131
14.54	-12.9371	12.5487	5.9281
14.56	-2.9971	9.6487	-2.9699
14.58	13.9789	-0.1003	-9.7319
14.60	12.0559	-0.7273	9.8591
14.62	-1.2301	8.4957	30.3481
14.64	-10.7111	7.9787	16.6141
14.66	-3.0031	-13.8823	3.7221
14.68	-2.5851	-13.3933	-9.1029
14.70	-14.0901	7.1697	-11.2649
14.72	-12.7621	2.3847	3.8711
14.74	-9.4861	-4.8473	-6.7389
14.76	-16.2861	-11.3403	-12.7039
14.78	-18.4001	-10.0083	-9.8419
14.80	-6.7521	4.8217	-18.0449
14.82	4.8849	-5.7823	-9.6599
14.84	4.7559	-6.2153	8.9551
14.86	0.1499	20.3287	13.9081
14.88	5.9319	-0.6103	16.7201
14.90	3.4819	-8.4723	-1.3689
14.92	-7.7751	14.3997	-25.6659
14.94	2.5049	-1.2013	-1.4999
14.96	22.8579	0.6257	14.3181
14.98	6.5569	31.5417	9.7281
15.00	-2.0621	9.5587	13.7771
15.02	-13.2391	-27.0423	18.2441
15.04	-1.3991	-27.9703	28.8731
15.06	21.3869	-7.6163	23.3591
15.08	-17.1481	0.9067	-9.4469
15.10	-38.9501	-19.9253	-21.0479
15.12	-5.3991	-25.8493	6.4421
15.14	3.3469	-9.8643	18.3021
15.16	-8.9911	-11.4613	12.2421
15.18	-3.5571	1.9207	13.4441
15.20	-9.9401	13.7667	6.1791
15.22	6.2749	-10.6343	1.7961
15.24	3.0139	-6.5003	7.4061
15.26	-27.9451	7.7207	10.9311
15.28	-23.5991	-6.9413	-4.1889
15.30	-5.9441	-12.6513	-16.6149
15.32	3.9279	-14.1403	-12.9809
15.34	2.5549	-17.6223	-7.8079
15.36	-12.5361	-13.1913	-3.0199
15.38	-9.4751	-17.4783	11.4251
15.40	16.3199	-3.4863	9.0121
15.42	11.4479	3.1827	-2.5329
15.44	20.3939	-14.1413	2.6951
15.46	31.4329	10.1067	11.6511
15.48	-2.2441	25.1677	17.7791
15.50	-17.5081	-0.8733	7.7081
15.52	-9.3271	-13.3993	12.1091
15.54	-0.9291	8.7357	9.5511
15.56	5.1279	27.8287	-18.0509
15.58	-4.2261	-0.2843	-8.5549
15.60	-11.4471	-12.7583	12.1311
15.62	-2.4741	12.8747	2.1841
15.64	-4.7681	11.5997	-7.4679
15.66	-14.0651	-0.9383	-17.7699
15.68	-1.7561	0.9167	-18.2419
15.70	27.0999	-9.6093	3.3571
15.72	27.7559	-5.9653	-3.6439
15.74	-11.3571	13.3837	-45.3049
15.76	-8.1461	-6.2683	-31.6399
15.78	10.8719	-5.3933	19.5861
15.80	-2.2821	14.0667	34.1221
15.82	-4.6831	9.2407	23.7871
15.84	-12.8031	9.1407	16.4361
15.86	-13.4541	8.7997	-2.8159
15.88	11.8249	7.4627	-2.7939
15.90	1.7049	15.5347	27.8931
15.92	-23.5471	17.9447	24.7831
15.94	-4.6821	7.2827	12.3691
15.96	26.4069	6.6047	8.5851
15.98	33.2119	11.3337	16.3791
16.00	25.5099	18.7837	7.2091
16.02	4.5179	2.0587	-28.5779
16.04	-0.4311	-9.8523	-20.7729
16.06	4.8109	9.2857	-1.2849
16.08	-10.3391	11.2407	13.5561
16.10	5.1329	11.1197	35.5011
16.12	20.1739	31.8277	18.1931
16.14	10.0459	29.2667	4.0921
16.16	9.8469	13.8037	21.4481
16.18	-20.2341	9.5017	14.6601
16.20	-31.6951	-8.9123	1.9891
16.22	-0.9391	-24.8503	19.3391
16.24	-0.7321	-9.7813	21.8421
16.26	2.2879	-3.5803	-1.6989
16.28	8.4959	-22.6623	-12.9339
16.30	-3.7851	-35.1663	-11.7309
16.32	8.7829	-27.8043	-3.9109
16.34	16.0589	-15.4633	8.2231
16.36	-2.1591	-10.4823	11.7391
16.38	8.4509	-13.9033	13.8921
16.40	13.6499	10.8037	11.7731
16.42	-12.0761	22.2907	-3.5629
16.44	-9.3121	-6.2783	-22.9549
16.46	-10.4301	-19.8763	-11.9909
16.48	-20.2211	-32.7503	21.5051
16.50	-13.5241	-20.2433	18.5011
16.52	-14.9721	-6.3823	-3.8459
16.54	-21.7571	-6.4373	-12.9349
16.56	-11.4601	0.5787	-3.1989
16.58	10.9519	-6.6723	10.6041
16.60	13.4299	-7.4183	-1.6239
16.62	-8.4651	-1.5203	-5.8119
16.64	-16.4051	2.9817	1.0541
16.66	5.1249	14.2747	10.8851
16.68	12.5119	27.8347	10.7761
16.70	-3.9021	26.9387	-11.6989
16.72	-1.0901	16.9257	-16.4689
16.74	7.5989	4.9767	-4.5429
16.76	7.2399	-9.6543	15.6261
16.78	25.7139	-1.2943	9.7721
16.80	19.0589	4.9427	-17.1049
16.82	-7.0511	-2.1433	-25.5319
16.84	-2.3611	12.5017	-28.3079
16.86	4.6349	3.8727	-22.5889
16.88	-13.9211	-15.4603	-16.7729
16.90	-32.2111	-21.6143	-15.8259
16.92	-25.5911	-10.2713	-14.7759
16.94	-14.2551	8.6997	-1.5999
16.96	-9.9621	16.4967	7.0141
16.98	0.5699	14.0437	8.4931
17.00	-7.4331	6.8747	2.1261
17.02	-18.2811	9.8877	-12.9219
17.04	-2.9031	7.8907	-18.9049
17.06	3.7149	9.2997	-25.3679
17.08	8.9419	-6.3393	-3.3439
17.10	35.1009	-17.3093	5.8371
17.12	24.1739	-15.0673	-18.5589
17.14	-9.3311	-10.5423	-6.7909
17.16	-10.5061	1.7107	15.2631
17.18	0.3869	-3.1133	16.3281
17.20	-3.4051	1.3087	7.3921
17.22	-11.5001	6.6607	-17.4179
17.24	13.9849	-2.5853	-48.8639
17.26	29.8119	-11.3543	-50.2169
17.28	-5.4191	-16.6563	-10.8489
17.30	-15.0071	1.0327	7.5221
17.32	8.2379	9.4177	7.0041
17.34	-2.6031	-4.7263	-8.3119
17.36	-10.2261	-17.5943	-18.1579
17.38	-10.5981	-23.0743	-3.3869
17.40	-36.0061	-30.7663	5.8751
17.42	-34.8811	-35.8473	1.6671
17.44	-17.1111	-23.1943	2.3871
17.46	-12.3301	-17.0763	12.1571
17.48	1.5139	-13.2713	17.2391
17.50	16.0049	-15.6473	14.5811
17.52	-2.0651	-37.9313	17.5201
17.54	-22.8701	-13.1743	12.0381
17.56	-24.2821	7.3057	10.0641
17.58	-26.4141	-28.4533	34.4921
17.60	-34.0371	-33.9753	48.3901
17.62	-31.5011	-21.1273	34.1451
17.64	2.5079	-20.3243	31.8621
17.66	30.3779	-13.7083	34.6961
17.68	29.8409	-0.7173	16.3891
17.70	45.1669	-2.4363	-1.8699
17.72	54.3089	0.9677	-19.1259
17.74	28.5329	3.6167	-28.2459
17.76	2.7799	-4.1503	-24.5119
17.78	1.1379	8.6927	-30.5599
17.80	35.0459	34.7927	-27.7059
17.82	40.1269	65.5027	-15.0989
17.84	10.4359	70.3097	-10.9179
17.86	-16.1251	8.4367	-4.6489
17.88	-46.8611	-52.0623	-15.4479
17.90	-35.1481	-19.3943	-40.7169
17.92	3.1709	59.4747	-45.7769
17.94	-5.7961	79.4777	-27.6529
17.96	-10.6931	59.4367	-18.0929
17.98	8.0119	62.4457	-15.3599
18.00	-7.7061	59.1527	4.2281
18.02	-33.9111	27.9537	6.5541
18.04	-47.3001	-9.0603	3.1961
18.06	-26.3491	-22.7843	27.7961
18.08	-15.4691	-17.0963	23.4101
18.10	-19.7381	-22.7323	1.0151
18.12	18.2709	-27.5723	6.8221
18.14	78.3899	-42.0173	20.5271
18.16	77.8839	-68.4953	19.6651
18.18	12.4889	-57.5173	13.8001
18.20	-7.0561	-20.1613	-2.9879
18.22	11.8859	-3.2023	-14.4729
18.24	12.2549	-15.1143	-17.8159
18.26	-25.7631	1.3377	-25.3619
18.28	-49.8571	42.2867	-8.1709
18.30	-7.1411	27.8727	9.9571
18.32	63.3119	-11.3453	17.8071
18.34	82.9769	-23.9723	5.8571
18.36	5.5399	-25.9813	-35.3409
18.38	-80.3451	-8.1113	-41.5739
18.40	-39.2301	5.4577	-13.5859
18.42	60.8919	-10.9093	-0.5229
18.44	25.0939	-1.6113	10.4971
18.46	-67.8351	32.8167	25.7691
18.48	-68.6091	65.5357	21.6121
18.50	-29.1951	60.0187	20.6711
18.52	-24.9481	29.9927	43.4341
18.54	-25.0351	21.3317	49.8291
18.56	14.1679	15.6777	29.5861
18.58	58.8639	-24.6443	4.5211
18.60	3.1709	-55.7423	-7.0669
18.62	-94.6081	-24.0603	1.5341
18.64	-90.3011	6.9757	7.2641
18.66	-24.9451	-23.6253	10.5551
18.68	37.4159	-85.8653	10.9321
18.70	59.8519	-83.1983	-11.5579
18.72	57.3599	-4.8183	-46.1019
18.74	73.3149	80.6687	-74.1030
18.76	-14.9751	64.1397	-69.9019
18.78	-66.5251	-4.6163	-37.7459
18.80	58.2869	7.2947	-32.4769
18.82	112.6819	64.4497	-29.2759
18.84	-6.7651	61.2217	-35.6629
18.86	-135.1661	-33.1203	-53.6779
18.88	-110.7531	-39.2593	-17.4929
18.90	13.7069	71.3797	33.3611
18.92	95.4669	77.4047	26.5801
18.94	97.9059	37.3907	-12.6539
18.96	90.2039	55.7777	-25.4669
18.98	54.4819	33.1557	10.5941
19.00	15.0049	-16.1003	26.6911
19.02	-25.4851	15.3457	6.8181
19.04	-58.1581	107.4047	16.3201
19.06	-25.9461	118.3577	10.2361
19.08	20.7529	-62.8603	-5.7069
19.10	4.0049	-151.3853	9.8461
19.12	-65.3271	-72.5653	37.1391
19.14	-45.8961	-19.9893	20.1611
19.16	46.6499	-9.6343	12.0781
19.18	35.7189	-19.3243	35.7261
19.20	7.2959	-29.1153	4.7891
19.22	64.0489	-31.9763	-17.2509
19.24	57.7949	5.2077	-8.8779
19.26	-14.5311	23.3067	-20.6159
19.28	4.7469	-8.0603	-27.6039
19.30	83.2819	-5.1583	-10.2369
19.32	14.6779	-19.1473	19.2421
19.34	-129.9161	-116.7233	43.2761
19.36	-62.1471	-153.5383	60.2131
19.38	84.7049	-83.0913	74.8391
19.40	63.7229	15.1017	48.1471
19.42	-30.0711	122.8887	-11.9819
19.44	-61.0861	187.5327	-60.3649
19.46	-39.3591	196.6097	-46.1399
19.48	-13.7591	108.7077	21.4631
19.50	-19.3241	-49.5763	68.0090
19.52	10.1839	-64.0663	44.0001
19.54	113.7189	8.3857	-15.2879
19.56	168.3469	58.7817	-43.0619
19.58	55.4959	83.6937	-54.2679
19.60	-59.9361	53.3597	-45.1679
19.62	-15.1921	-37.0273	-4.9179
19.64	69.9869	-102.6363	11.2401
19.66	-14.4191	-58.9603	-1.8379
19.68	-90.5031	-29.1423	-29.8939
19.70	12.7119	16.4387	-66.6829
19.72	86.0139	132.7357	-61.4199
19.74	-37.0881	172.5047	-32.2859
19.76	-129.9211	28.5077	-29.4649
19.78	-82.3991	-103.6393	-32.9379
19.80	-74.2691	-69.3573	-7.8179
19.82	-101.7031	-43.0533	8.2271
19.84	-65.6321	-104.1843	-12.8849
19.86	12.6459	-92.5663	-11.0129
19.88	76.8229	-51.0663	6.7091
19.90	153.7389	-79.0153	16.5271
19.92	154.7289	-92.2443	29.3411
19.94	15.5079	-88.2003	0.9831
19.96	-39.4471	-59.8553	-19.0109
19.98	21.1639	12.3387	-8.6259
20.00	78.4669	34.0067	-9.4889
20.02	59.1249	6.0107	8.2121
20.04	25.9399	41.1377	47.2151
20.06	60.0419	66.8437	71.8381
20.08	62.6359	10.7187	64.3101
20.10	49.1029	-34.7653	36.5951
20.12	52.6939	50.1277	4.0001
20.14	37.8179	202.1257	-21.5709
20.16	19.6059	181.5577	-18.5229
20.18	22.8899	11.8117	-22.9719
20.20	-18.6571	-3.6393	-17.2489
20.22	-35.5731	65.1167	8.0061
20.24	-9.9121	-32.3853	30.5261
20.26	-52.5101	-178.6953	71.7880
20.28	-97.4231	-268.2363	81.9751
20.30	-82.7231	-239.9383	22.5611
20.32	-85.3521	-92.9373	-25.3989
20.34	-138.7871	-49.9703	-37.7419
20.36	-157.2591	-149.0573	-53.0839
20.38	-90.4421	-160.1103	-53.0829
20.40	-3.1241	-19.7783	-37.5189
20.42	18.0679	150.3737	-40.7779
20.44	40.6599	213.1387	-51.7189
20.46	73.9049	172.5857	-16.2589
20.48	67.3319	114.0657	-5.0149
20.50	104.9029	46.2947	-42.0699
20.52	137.3689	5.6327	-28.3509
20.54	43.4029	72.9297	15.2551
20.56	-99.6321	39.8287	23.5821
20.58	-99.3481	-31.0663	36.3621
20.60	-33.1281	36.2317	73.6360
20.62	-17.3231	51.2787	79.4851
20.64	3.3999	-27.3513	60.2481
20.66	-5.6821	-160.7793	39.7141
20.68	-10.8141	-210.2793	0.6141
20.70	55.7659	-88.1963	-39.4699
20.72	61.6349	-3.4283	-43.3049
20.74	-43.6151	20.3577	-40.0219
20.76	-6.7181	19.8117	-25.8049
20.78	88.4349	5.4107	-8.9899
20.80	45.6729	132.6587	-38.6309
20.82	-26.2571	245.0097	-63.7399
20.84	-42.9401	127.3947	-42.5619
20.86	-63.0071	-69.4483	-7.1419
20.88	-117.4941	-99.1243	13.2551
20.90	-50.7521	-2.0793	-3.9319
20.92	62.9059	50.3647	-14.1849
20.94	36.0899	38.2977	-6.3539
20.96	-33.6901	-53.4433	-29.7919
20.98	-36.1341	-152.7213	-33.0749
21.00	-17.5951	-75.4303	-25.4179
21.02	13.9179	129.7407	-29.5599
21.04	5.9279	232.8597	5.5041
21.06	-30.3051	154.1037	30.1031
21.08	14.0189	13.4547	21.0491
21.10	95.7089	-51.5183	29.6001
21.12	86.9359	-14.7123	35.4251
21.14	57.3219	54.3937	28.0171
21.16	73.5709	55.5327	5.8551
21.18	30.5979	-33.1293	-6.3589
21.20	-26.0171	-100.7023	-20.3009
21.22	-14.3251	-67.1993	-33.8049
21.24	-56.1381	-60.1013	-8.8669
21.26	-174.1651	-44.3133	25.0161
21.28	-180.5601	56.3067	-2.4269
21.30	-89.3761	119.5607	-14.9079
21.32	-1.6671	-83.1513	65.8511
21.34	23.4559	-248.0783	94.2921
21.36	49.1069	-6.6733	42.2691
21.38	127.2079	247.8837	-16.6389
21.40	135.6079	174.1477	-71.5969
21.42	74.9409	-0.9903	-69.4169
21.44	20.5439	-19.9123	-16.9799
21.46	-18.6891	69.6947	15.8161
21.48	-54.4691	163.3427	6.4131
21.50	-84.4461	140.1007	13.4041
21.52	-110.1471	-13.9993	50.2591
21.54	-25.3921	-82.2133	50.3361
21.56	40.6669	26.4327	8.4061
21.58	-93.6341	119.0687	-13.6969
21.60	-102.9021	60.7897	-3.5959
21.62	59.8739	-69.4633	1.1051
21.64	98.1889	-101.8093	-6.0069
21.66	25.4259	45.8207	-13.1259
21.68	-5.0721	120.8737	8.4771
21.70	39.1199	-24.7113	45.8741
21.72	53.7169	-106.3203	31.6991
21.74	15.3029	-2.8433	-13.9769
21.76	-84.2481	68.6257	-35.7939
21.78	-103.6191	68.8847	-53.0579
21.80	24.0019	75.3087	-45.1239
21.82	47.1699	82.8917	11.0821
21.84	-54.7191	85.4777	38.7441
21.86	-45.6571	-36.9093	4.0271
21.88	-23.1311	-88.4933	-10.8209
21.90	-57.1151	46.6467	-20.6479
21.92	-17.3691	27.6617	-44.9889
21.94	42.7059	-78.4623	6.9511
21.96	36.5079	-120.1213	67.1381
21.98	-25.3621	-95.6373	33.2591
22.00	-60.4771	52.7017	6.0491
22.02	-8.1261	82.0307	22.6421
22.04	94.3189	-53.1243	21.1461
22.06	134.6649	-50.5003	32.1141
22.08	78.3939	50.4787	54.6861
22.10	-9.3891	12.5307	32.7721
22.12	-69.6951	-80.4453	4.2091
22.14	-44.5391	-79.3343	1.8481
22.16	35.1449	-47.6333	-14.6749
22.18	21.5809	-0.9563	-34.9149
22.20	-34.4151	78.2257	-24.7809
22.22	36.2459	111.9827	-10.6519
22.24	137.4229	34.3247	-2.5229
22.26	78.3289	-2.9933	-5.6769
22.28	-73.0101	57.1707	-21.8439
22.30	-98.8101	10.2697	-27.9839
22.32	31.6099	-43.1273	-26.4509
22.34	105.7909	18.0137	-21.4439
22.36	14.9999	79.1367	-15.3829
22.38	-47.2691	72.3167	8.3691
22.40	-39.3761	-64.4463	2.2611
22.42	-71.6001	-112.1753	-18.1739
22.44	-50.8691	50.8717	-27.9959
22.46	47.5829	146.3557	-49.7789
22.48	111.6599	85.6747	-16.9269
22.50	22.8309	23.1717	27.8441
22.52	-159.2711	-33.9773	21.6541
22.54	-114.0851	-35.2643	6.2981
22.56	10.4729	28.9467	22.8801
22.58	0.1899	50.8077	46.2741
22.60	-22.1371	69.5337	62.5761
22.62	-46.9111	77.8007	54.7581
22.64	-68.4521	37.6097	29.0531
22.66	6.0869	40.3087	11.4641
22.68	98.1249	-2.0513	5.8741
22.70	67.5169	-105.2503	26.8361
22.72	50.4479	-60.6453	20.4201
22.74	38.5889	30.1787	3.6661
22.76	6.3329	-30.1263	9.5531
22.78	35.1679	-169.9613	-5.9819
22.80	13.1289	-174.9023	-13.9009
22.82	-67.7411	-7.9383	-6.7169
22.84	-41.5221	69.7867	-22.5439
22.86	83.8009	-38.7113	-8.2639
22.88	98.9219	-44.5023	14.3841
22.90	-5.3261	35.0347	-36.1529
22.92	-119.4121	-29.6963	-65.8309
22.94	-130.9781	-84.0643	-43.8689
22.96	-2.9181	15.1887	-37.9959
22.98	51.8509	128.0587	-1.3789
23.00	-76.4071	99.9777	24.5881
23.02	-53.6071	-13.7823	-4.5619
23.04	111.6609	-71.1843	2.0921
23.06	135.8659	-103.6963	25.1311
23.08	89.2769	-64.5723	1.0031
23.10	39.1499	47.4617	-14.3159
23.12	27.1019	156.0477	-0.2369
23.14	-21.4911	-12.2923	-4.7989
23.16	-109.4081	-153.5113	-30.7609
23.18	-89.2261	-8.2063	-45.1679
23.20	-6.7031	148.8027	-14.5989
23.22	66.0129	5.1267	25.6201
23.24	67.3509	-74.1803	43.2241
23.26	1.7139	30.5237	55.6031
23.28	-53.1911	37.1617	40.9891
23.30	-73.6201	69.4247	-19.6039
23.32	-63.3531	-11.0783	-48.7129
23.34	-53.6751	-104.4473	17.0801
23.36	-19.3191	-34.2873	62.9921
23.38	48.7069	13.8847	39.6301
23.40	4.5979	6.4837	10.8361
23.42	-51.9071	66.8317	10.4821
23.44	21.5579	46.3927	13.7611
23.46	32.6379	19.0777	18.3491
23.48	-67.1331	-6.5593	18.6211
23.50	-106.1931	-195.6303	-20.3389
23.52	-5.6181	-240.9893	-48.5649
23.54	70.2739	-82.2623	-46.7869
23.56	42.8959	95.2977	-45.8049
23.58	32.8359	37.6577	-24.4909
23.60	-11.4421	-97.0323	1.6301
23.62	-40.7791	-12.0583	-12.1939
23.64	32.4959	-1.4173	-18.8309
23.66	89.5779	-63.3823	-17.2099
23.68	60.0339	22.8897	-13.5789
23.70	0.2799	161.5757	9.2011
23.72	-49.4111	117.4647	5.6461
23.74	-40.6291	-15.2653	15.9191
23.76	25.0849	17.7727	57.8261
23.78	80.0239	144.5247	55.5591
23.80	23.9479	100.1947	13.2091
23.82	-76.9881	-59.3173	-14.8559
23.84	-26.8761	-71.5313	-12.7369
23.86	56.3649	57.3767	-13.0179
23.88	1.3259	61.0587	-11.6349
23.90	-61.4581	-49.2833	9.8201
23.92	-15.9191	-80.3233	16.8581
23.94	74.7949	-82.8413	-9.6779
23.96	118.5839	-37.7453	-36.7479
23.98	63.3029	61.2157	-43.8679
24.00	10.4779	51.5887	-24.3589
24.02	29.2549	-33.9583	-17.0399
24.04	6.4239	-35.1233	-10.9789
24.06	-62.6931	28.0547	14.3681
24.08	-76.8601	51.1747	17.4021
24.10	-59.8901	22.1097	0.1311
24.12	-61.3741	-9.9483	-3.6309
24.14	-44.2391	-19.6903	11.3171
24.16	-0.6351	-51.3323	22.7321
24.18	16.1109	-30.4763	9.5111
24.20	-38.7251	21.6937	-9.8969
24.22	-50.8551	-1.8663	-5.3759
24.24	32.1749	-38.5763	-3.4719
24.26	56.6289	-9.0083	1.2511
24.28	-65.8441	36.9707	7.8681
24.30	-102.1931	9.4517	-12.3489
24.32	45.0539	-61.9633	-15.7299
24.34	76.7129	-73.9873	21.7481
24.36	-32.3191	13.2817	39.0431
24.38	-69.5691	45.8497	7.8401
24.40	-0.1801	-50.2353	-37.6079
24.42	53.0069	-51.1143	-58.7059
24.44	39.1439	71.8147	-42.4719
24.46	35.2489	112.1147	-18.8829
24.48	32.1259	29.8597	-1.9419
24.50	30.0389	-24.7243	6.6011
24.52	39.5239	11.6757	17.1561
24.54	20.0489	-1.8263	8.1821
24.56	-41.2801	-26.3133	-2.5529
24.58	-81.1611	26.1937	30.4171
24.60	-49.8501	14.1547	52.4611
24.62	-40.1281	-35.5303	20.8191
24.64	-27.0451	-19.0573	-0.4619
24.66	10.0069	-15.8653	-12.5289
24.68	-29.9751	-21.7763	-33.4799
24.70	-26.9551	-11.0243	-20.4749
24.72	26.5009	-26.0393	18.3721
24.74	21.1989	-40.5153	15.7661
24.76	11.4949	-46.7043	-11.1589
24.78	-9.0481	-64.0913	6.4151
24.80	-4.6891	-47.4943	6.9691
24.82	72.3279	35.0807	-31.7999
24.84	102.0599	87.0127	-38.1079
24.86	-5.2471	16.7047	-21.4679
24.88	-63.1421	-60.6863	-18.0509
24.90	-14.2021	36.4917	5.3331
24.92	-46.5181	22.5297	39.0981
24.94	-110.4351	-64.1093	36.8351
24.96	-28.0301	31.4947	24.5931
24.98	35.1899	20.7097	0.3761
25.00	-45.1811	-34.7283	-24.5819
25.02	-61.4611	2.9527	-8.9319
